Usuario|A->A_Week1|A->D_Week1|A->E_Week1|A->F_Week1|A->V_Week1|D->A_Week1|D->D_Week1|D->E_Week1|D->F_Week1|D->V_Week1|E->A_Week1|E->D_Week1|E->E_Week1|E->F_Week1|E->V_Week1|F->A_Week1|F->D_Week1|F->E_Week1|F->F_Week1|F->V_Week1|V->A_Week1|V->D_Week1|V->E_Week1|V->F_Week1|V->V_Week1|A->A_Week2|A->D_Week2|A->E_Week2|A->F_Week2|A->P_Week2|A->V_Week2|D->A_Week2|D->D_Week2|D->E_Week2|D->F_Week2|D->P_Week2|D->V_Week2|E->A_Week2|E->D_Week2|E->E_Week2|E->F_Week2|E->P_Week2|E->V_Week2|F->A_Week2|F->D_Week2|F->E_Week2|F->F_Week2|F->P_Week2|F->V_Week2|P->A_Week2|P->D_Week2|P->E_Week2|P->F_Week2|P->P_Week2|P->V_Week2|V->A_Week2|V->D_Week2|V->E_Week2|V->F_Week2|V->P_Week2|V->V_Week2
1092078|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16666666666666666|0.0|0.16666666666666666|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.3333333333333333|0.7727272727272727|0.0|0.0|0.045454545454545456|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.045454545454545456|0.0|0.0|0.0|0.0|0.13636363636363635
109670|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.0|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0
1109013|0.0|0.0|0.0|0.0|0.0|0.0|0.47761194029850745|0.0|0.0|0.04477611940298507|0.0|0.014925373134328358|0.05970149253731343|0.0|0.1044776119402985|0.0|0.0|0.0|0.0|0.0|0.0|0.029850746268656716|0.11940298507462686|0.0|0.14925373134328357|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1130326|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.16666666666666666|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16666666666666666|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.0
113479|0.24489795918367346|0.0|0.0|0.0|0.061224489795918366|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.08163265306122448|0.0|0.20408163265306123|0.0|0.0|0.0|0.0|0.0|0.061224489795918366|0.0|0.20408163265306123|0.0|0.14285714285714285|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1136260|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16666666666666666|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.16666666666666666|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0
115462|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.25|0.42|0.0|0.0|0.0|0.02|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02|0.0|0.24|0.0|0.0|0.14|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16|0.0|0.0|0.0
115593|0.0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|0.0|0.1875|0.0|0.0625|0.1875|0.0|0.125|0.0|0.0625|0.0|0.0|0.0|0.0|0.0|0.1875|0.0625|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|0.0|0.0|0.0|0.0|0.125|0.0|0.0|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.125|0.25|0.0|0.0|0.125
1158605|0.12121212121212122|0.0|0.0|0.045454545454545456|0.015151515151515152|0.0|0.22727272727272727|0.015151515151515152|0.0|0.015151515151515152|0.0|0.015151515151515152|0.045454545454545456|0.0|0.15151515151515152|0.030303030303030304|0.0|0.0|0.0|0.0|0.030303030303030304|0.015151515151515152|0.15151515151515152|0.0|0.12121212121212122|0.2727272727272727|0.0|0.0|0.03636363636363636|0.0|0.01818181818181818|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10909090909090909|0.0|0.0|0.18181818181818182|0.03636363636363636|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01818181818181818|0.0|0.18181818181818182|0.01818181818181818|0.0|0.12727272727272726
1159330|0.35714285714285715|0.0|0.0|0.0|0.023809523809523808|0.0|0.07142857142857142|0.0|0.0|0.023809523809523808|0.0|0.0|0.23809523809523808|0.0|0.09523809523809523|0.0|0.0|0.0|0.0|0.0|0.023809523809523808|0.023809523809523808|0.09523809523809523|0.0|0.047619047619047616|0.3617021276595745|0.0|0.0|0.0|0.02127659574468085|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02127659574468085|0.0|0.2553191489361702|0.0|0.0|0.14893617021276595|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1702127659574468|0.0|0.0|0.02127659574468085
