Usuario,A->A,A->D,A->E,A->F,A->P,A->V,D->A,D->D,D->E,D->F,D->P,D->V,E->A,E->D,E->E,E->F,E->P,E->V,F->A,F->D,F->E,F->F,F->P,F->V,P->A,P->D,P->E,P->F,P->P,P->V,V->A,V->D,V->E,V->F,V->P,V->V
4847616,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.32142857142857145,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.03571428571428571
6605007,0.3880597014925373,0.029850746268656716,0.0,0.0,0.0,0.029850746268656716,0.029850746268656716,0.3880597014925373,0.0,0.0,0.0,0.014925373134328358,0.014925373134328358,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.029850746268656716,0.014925373134328358,0.0,0.0,0.029850746268656716
2671374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.7222222222222222
6510557,0.3055555555555556,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.2777777777777778,0.0,0.0,0.1527777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.041666666666666664
6488311,0.11688311688311688,0.0,0.0,0.0,0.0,0.0,0.0,0.22077922077922077,0.0,0.0,0.0,0.025974025974025976,0.012987012987012988,0.012987012987012988,0.45454545454545453,0.0,0.0,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
67383,0.25,0.0043859649122807015,0.0,0.0043859649122807015,0.008771929824561403,0.039473684210526314,0.008771929824561403,0.017543859649122806,0.0,0.0,0.0,0.0043859649122807015,0.0043859649122807015,0.0,0.17543859649122806,0.0043859649122807015,0.0,0.09649122807017543,0.008771929824561403,0.0,0.0,0.013157894736842105,0.0043859649122807015,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.021929824561403508,0.03508771929824561,0.008771929824561403,0.10526315789473684,0.008771929824561403,0.008771929824561403,0.16228070175438597
5605250,0.13636363636363635,0.011363636363636364,0.0,0.0,0.0,0.0,0.011363636363636364,0.5681818181818182,0.0,0.0,0.0,0.022727272727272728,0.0,0.011363636363636364,0.07954545454545454,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.07954545454545454,0.0,0.0,0.0
4932829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5778413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.5
3392000,0.29518072289156627,0.006024096385542169,0.0,0.012048192771084338,0.018072289156626505,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.1566265060240964,0.012048192771084338,0.0,0.0963855421686747,0.006024096385542169,0.0,0.0,0.14457831325301204,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.012048192771084338,0.0,0.018072289156626505,0.0,0.0,0.13253012048192772,0.0,0.0,0.03614457831325301
6248681,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.0,0.21875
1927800,0.3310344827586207,0.0,0.0,0.0,0.006896551724137931,0.020689655172413793,0.0,0.020689655172413793,0.0,0.0,0.0,0.006896551724137931,0.013793103448275862,0.0,0.1724137931034483,0.0,0.0,0.15172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.020689655172413793,0.0,0.16551724137931034,0.0,0.006896551724137931,0.06896551724137931
6229709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.45454545454545453,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.13636363636363635
6657766,0.1118421052631579,0.0,0.0,0.0,0.013157894736842105,0.046052631578947366,0.0,0.013157894736842105,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,0.0,0.07894736842105263,0.0,0.0,0.14473684210526316,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105,0.046052631578947366,0.006578947368421052,0.1513157894736842,0.006578947368421052,0.006578947368421052,0.3223684210526316
1304383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.25,0.0,0.0,0.16666666666666666
