Usuario,A->A,A->D,A->E,A->F,A->P,A->V,D->A,D->D,D->E,D->F,D->P,D->V,E->A,E->D,E->E,E->F,E->P,E->V,F->A,F->D,F->E,F->F,F->P,F->V,P->A,P->D,P->E,P->F,P->P,P->V,V->A,V->D,V->E,V->F,V->P,V->V
6429840,38,0,0,0,0,4,0,1,0,0,0,2,2,1,22,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,2,0,19,0,1,25
4778142,0,0,0,0,0,0,0,7,0,0,0,2,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5
1942586,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
6382031,60,1,0,0,2,5,3,26,0,0,0,2,3,1,30,0,0,32,0,0,0,4,1,0,0,0,0,0,0,4,2,3,36,1,2,27
4298668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2
4836523,90,0,0,0,2,6,0,0,0,0,0,0,6,0,39,0,0,27,0,0,0,0,0,0,0,0,0,0,0,4,2,0,33,0,3,13
5375345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
6441542,53,1,0,12,0,8,1,17,0,1,0,2,2,1,33,3,1,27,11,0,3,32,2,6,0,0,0,1,0,3,7,1,31,6,1,11
6709327,9,0,1,0,1,0,0,0,0,0,0,1,1,0,29,0,0,21,0,0,0,0,0,0,1,0,0,0,1,0,0,1,22,0,0,1
6589080,0,0,0,0,0,0,0,14,0,0,0,4,0,2,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2
6614067,1,0,0,0,0,0,0,0,0,0,0,1,1,0,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,6
151503,11,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,11
57631,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7
6547006,0,0,0,0,0,0,0,3,0,0,0,1,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,4
6411018,24,0,0,0,0,2,1,0,0,0,0,0,1,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1
6473263,62,1,2,0,0,0,0,1,0,0,1,1,4,0,50,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1
6276655,3,0,0,0,0,1,0,35,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,16
63073,92,0,0,0,5,1,0,0,0,0,0,2,4,0,40,1,0,26,1,0,0,0,0,0,0,1,0,0,0,3,1,0,31,0,0,8
