id,grade,Actividades 01,Actividades 02,Actividades 03,Actividades 04,Actividades 05,Actividades 06,Actividades Avg,Proyecto 01,Proyecto 02,Proyecto 03,Proyecto 04,Proyecto 05,Proyecto Avg,Preguntas cortas 01,Preguntas cortas 02,Preguntas cortas 03,Preguntas cortas 04,Preguntas cortas 05,Preguntas cortas 06,Preguntas cortas 07,Preguntas cortas 08,Preguntas cortas 09,Preguntas cortas 10,Preguntas cortas Avg,Final,Enrollment Track,Verification Status,Certificate Eligible,Certificate Delivered,Certificate Type
7601258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7601664,0.17,0.555555555556,0.166666666667,0.5,0.818181818182,0,0.25,0.381734006734,0,0,0,0,0,0,1,0.25,0.625,0.272727272727,0.5,0,0.833333333333,0.75,0.625,0.833333333333,0.568939393939,0,honor,N/A,N,N,N/A
6490925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
5567373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
82461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7602436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
5527028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7527312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7379293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7604350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
5213839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7107533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444,0,0,0,0,0,0,0,0,0,0.0444444444444,0,honor,N/A,N,N,N/A
7604596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7605415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7605571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7097965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
6807997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
2806127,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0,honor,N/A,N,N,N/A
4380745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7606140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7606157,0.07,0.166666666667,0,0,0,0,0,0.0277777777778,0.5,0,0,0,0,0.1,0.888888888889,0.25,0.75,0.818181818182,0.25,0,0,0,0,0,0.295707070707,0,honor,N/A,N,N,N/A
7606351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7606997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
6713887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
3877079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7607480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
44895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
5793296,0.05,0.555555555556,0,0,0,0,0,0.0925925925926,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0.175,0,honor,N/A,N,N,N/A
6899797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7043650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7608443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7608563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
7295218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honor,N/A,N,N,N/A
