id,grade,,Actividades 01,Actividades 02,Actividades 03,Actividades 04,Actividades 05,Actividades 06,Actividades Avg,Proyecto 01,Proyecto 02,Proyecto 03,Proyecto 04,Proyecto 05,Proyecto Avg,Preguntas cortas 01,Preguntas cortas 02,Preguntas cortas 03,Preguntas cortas 04,Preguntas cortas 05,Preguntas cortas 06,Preguntas cortas 07,Preguntas cortas 08,Preguntas cortas 09,Preguntas cortas 10,Preguntas cortas Avg,Final,,,,,
6602983,0.96,0.96336200767703,0.736842105263,0.958333333333,1,1,1,1,0.949195906433,1,1,1,1,1,1,0.9,0.75,1,0.727272727273,0.5,1,1,1,1,1,0.887727272727,0.966101694915,0,0,0,0,0
6648825,0.96,0.96324858757077,1,0.916666666667,1,1,1,1,0.986111111111,0.875,1,1,0.666666666667,1,0.908333333333,1,1,1,1,1,1,1,1,1,1,1,0.983050847458,0,0,0,0,0
4462871,0.96,0.9621212121212,1,1,0.833333333333,0.909090909091,1,1,0.957070707071,1,1,1,1,0.75,0.95,1,0.75,1,1,0.75,0.5,1,1,1,1,0.9,1,0,0,0,0,0
3244529,0.96,0.96011842105267,0.947368421053,1,1,1,1,1,0.991228070175,1,1,1,0.666666666667,0.75,0.883333333333,0.9,1,0.875,1,1,1,1,1,1,1,0.9775,1,0,0,0,0,0
6671722,0.96,0.95799717514115,1,0.958333333333,1,1,0.875,1,0.972222222222,1,0.625,1,1,1,0.925,0.9,1,1,1,1,1,1,1,1,1,0.99,0.966101694915,0,0,0,0,0
4192131,0.96,0.95761752223401,0.947368421053,0.958333333333,1,1,1,1,0.984283625731,1,1,1,1,1,1,1,1,0.875,0.909090909091,1,0.5,1,1,1,1,0.928409090909,0.898305084746,0,0,0,0,0
6477313,0.96,0.95666859270686,1,0.958333333333,1,1,1,1,0.993055555556,0.75,1,1,1,1,0.95,1,0.5,1,0.909090909091,1,1,1,1,1,1,0.940909090909,0.932203389831,0,0,0,0,0
6560611,0.96,0.95611414997427,1,0.958333333333,1,0.909090909091,1,1,0.977904040404,1,1,1,1,1,1,0.9,1,1,1,0.75,0.5,0.666666666667,1,1,1,0.881666666667,0.915254237288,0,0,0,0,0
67383,0.96,0.9559797461681,0.947368421053,1,1,0.909090909091,1,1,0.976076555024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1,0.9875,0.881355932203,0,0,0,0,0
6389127,0.96,0.9558243451465,1,1,1,0.818181818182,1,1,0.969696969697,0.875,0.625,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,0.983050847458,0,0,0,0,0
