MLPClassifier__01;6571916;0;[0.998977146652, 0.00102285334843]
MLPClassifier__01;6660277;0;[0.99946008127, 0.000539918730206]
MLPClassifier__01;5912739;0;[0.89010431868, 0.10989568132]
MLPClassifier__01;6411160;0;[0.986565638998, 0.0134343610019]
MLPClassifier__01;4791948;0;[1.0, 2.23581357794e-13]
MLPClassifier__01;6225460;1;[0.741317089719, 0.258682910281]
MLPClassifier__01;6699889;0;[0.992777075559, 0.00722292444106]
MLPClassifier__01;5958212;0;[0.999247916205, 0.000752083795496]
MLPClassifier__01;6359867;0;[0.992236696113, 0.00776330388672]
MLPClassifier__01;6574332;0;[0.961883969652, 0.0381160303484]
MLPClassifier__01;162871;0;[0.989886355754, 0.0101136442457]
MLPClassifier__01;5433817;0;[0.959914023998, 0.0400859760017]
MLPClassifier__01;6450037;0;[0.578652915403, 0.421347084597]
MLPClassifier__01;6577290;0;[0.996902980237, 0.00309701976262]
MLPClassifier__01;6594574;0;[0.84173475648, 0.15826524352]
MLPClassifier__01;4349158;0;[0.896595980312, 0.103404019688]
MLPClassifier__01;6445301;0;[0.962783531536, 0.0372164684643]
MLPClassifier__01;5369802;0;[0.981658693411, 0.018341306589]
MLPClassifier__01;5944132;0;[0.622149848728, 0.377850151272]
MLPClassifier__01;698770;0;[0.992098463415, 0.00790153658486]
MLPClassifier__01;6032735;0;[0.998567454481, 0.00143254551908]
MLPClassifier__01;2529759;0;[0.991620187106, 0.00837981289389]
MLPClassifier__01;5355848;0;[0.975576083627, 0.0244239163734]
MLPClassifier__01;6519659;0;[0.99999996186, 3.8140090444e-08]
MLPClassifier__01;5585532;0;[0.999831517171, 0.000168482828524]
MLPClassifier__01;1914144;0;[0.999999982371, 1.7629128751e-08]
MLPClassifier__01;5349336;0;[0.952233556223, 0.0477664437772]
MLPClassifier__01;6229709;0;[0.995447323031, 0.00455267696906]
MLPClassifier__01;4796333;0;[0.993967734223, 0.00603226577732]
MLPClassifier__01;2836016;0;[0.993786050595, 0.00621394940501]
MLPClassifier__01;6140405;0;[0.999579180613, 0.000420819386591]
MLPClassifier__01;6649098;0;[0.673746086457, 0.326253913543]
MLPClassifier__01;6574409;0;[0.999863134901, 0.000136865098835]
MLPClassifier__01;6554549;0;[0.823340130872, 0.176659869128]
MLPClassifier__01;6049428;0;[0.99790319967, 0.00209680032995]
MLPClassifier__01;733744;0;[0.998082917822, 0.00191708217771]
MLPClassifier__01;6573745;0;[0.995255403716, 0.00474459628443]
MLPClassifier__01;5058228;0;[0.999840956688, 0.000159043311706]
MLPClassifier__01;6500490;0;[0.597108884638, 0.402891115362]
MLPClassifier__01;6587858;0;[0.991676873772, 0.00832312622752]
MLPClassifier__01;6429840;0;[0.999992021303, 7.97869732183e-06]
MLPClassifier__01;1315111;0;[1.0, 1.9577986015e-13]
MLPClassifier__01;126513;0;[0.545488596887, 0.454511403113]
MLPClassifier__01;6571521;0;[0.999999151345, 8.48654777463e-07]
