Usuario|NumEventos_Ed1|NumInteraccVideos_Ed1|NumInteraccProy_Ed1|NumInteraccDoc_Ed1|NumInteraccForo_Ed1|NumInteraccProb_Ed1|NumInteraccEjer_Ed1|NumInteraccActiv_Ed1|NumProbCorrect_Ed1|NumProbAttepts_Ed1|NotaProy_Ed1|WordsForum_Ed1|A->A_Ed1|A->D_Ed1|A->E_Ed1|A->F_Ed1|A->P_Ed1|A->V_Ed1|D->A_Ed1|D->D_Ed1|D->E_Ed1|D->F_Ed1|D->P_Ed1|D->V_Ed1|E->A_Ed1|E->D_Ed1|E->E_Ed1|E->F_Ed1|E->P_Ed1|E->V_Ed1|F->A_Ed1|F->D_Ed1|F->E_Ed1|F->F_Ed1|F->P_Ed1|F->V_Ed1|P->A_Ed1|P->D_Ed1|P->E_Ed1|P->F_Ed1|P->P_Ed1|P->V_Ed1|V->A_Ed1|V->D_Ed1|V->E_Ed1|V->F_Ed1|V->P_Ed1|V->V_Ed1|NumSEJavaCorrect|suspect
6745686|76|0|0|75|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0
6747603|270|243|0|0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0|0
6747958|591|520|0|9|0|16|2|0|13|16|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.17647058823529413|0.0|0.0|0.0|0.08823529411764706|0.0|0.0|0.029411764705882353|0.0|0.0|0.029411764705882353|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.058823529411764705|0.029411764705882353|0.0|0.0|0.5882352941176471|12|0
67514|60|50|0|0|0|4|4|0|4|4|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.0|0.125|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.0|0.375|0|0
6754681|85|45|0|12|1|15|0|0|6|16|0|26|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5263157894736842|0.0|0.0|0.0|0.05263157894736842|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05263157894736842|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05263157894736842|0.0|0.0|0.0|0.3157894736842105|6|0
6755243|378|311|0|11|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.19047619047619047|0.0|0.0|0.0|0.07142857142857142|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.047619047619047616|0.0|0.0|0.0|0.6904761904761905|0|0
6755578|72|25|2|0|0|42|21|21|10|53|14|0|0.4318181818181818|0.0|0.0|0.0|0.045454545454545456|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.022727272727272728|0.0|0.4318181818181818|0.0|0.0|0.022727272727272728|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.022727272727272728|0.0|0.0|0.0|0.022727272727272728|0.0|0.0|0.0|0.0|0.0|0|0
6755621|58|36|0|0|0|15|0|0|11|16|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|11|0
6756350|7|3|0|3|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6666666666666666|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0
6757226|68|48|0|0|0|15|0|0|4|16|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|4|0
